
----- Run Fri Aug 12 10:37:53 2022-----
motor 12    motor 13    motor 14    0    3499975    3499024    3499952    3499308    3499894    3500983    
0.25    3430346    3422450    3418895    3418641    3421077    3414173    
0.5    3031322    3031941    3019863    3020689    3002986    3005125    
0.75    2230825    2231074    2213287    2214008    2187746    2189957    
1.0    1289790    1290516    1272241    1238954    1246908    1249573    
1.25    482159    482838    470674    471742    454282    456269    
1.5    81808    74778    70293    71446    72321    67573    
1.75    55    840    29    1014    9    2323    
2.0    39214    33030    41779    36298    45686    43586    
2.25    343258    357511    372728    367683    367223    364478    
2.5    1065191    1059803    1081817    1110368    1106081    1104664    
2.75    2032607    2027049    2050668    2045240    2076781    2073978    
3.0    2869480    2890821    2908616    2903986    2901535    2924348    
3.25    3371725    3366648    3376993    3382084    3384388    3381544    
3.5    3498597    3493348    3498859    3493778    3499177    3495774    
3.75    3483916    3481309    3479327    3479762    3480225    3482636    
4.0    3244729    3245213    3236562    3237266    3224453    3226536    
4.25    2625986    2595774    2579378    2580357    2587996    2559318    
4.5    1685472    1686866    1667116    1631843    1640520    1643104    
4.75    768900    770167    754419    756315    733643    736832    
5.0    202124    189128    181654    182856    185308    187360    
5.25    8075    9062    7215    8549    6078    8622    
5.5    5697    4246    8097    5903    7658    6745    
5.75    168891    177198    202299    197587    185139    182737    
6.0    726186    721122    769263    764912    733287    760297    
6.25    1594285    1589436    1649229    1643415    1640061    1636439    
6.5    2548166    2542692    2595412    2590702    2587604    2585200    
6.75    3202608    3214936    3244930    3239967    3224240    3237934    
7.0    3475883    3470588    3480979    3475843    3480184    3476932    
7.25    3499277    3494886    3497952    3494383    3499183    3496378    
7.5    3396591    3397282    3371594    3361659    3384514    3387165    
7.75    2933701    2934400    2869150    2870460    2901858    2904389    
8.0    2122029    2087254    2032157    1997102    2077231    2078940    
8.25    1148758    1149845    1064777    1066395    1106502    1109104    
8.5    413865    392988    343019    344300    387716    369019    
8.75    53040    54060    39152    35749    45756    48273    
9.0    0    749    148    1115    7    2341    
9.25    63307    57722    90216    84977    65032    69871    
9.5    426479    421415    505863    524760    454000    450675    
9.75    1203134    1198213    1325514    1320280    1246472    1244758    

----- Run Fri Aug 12 11:26:19 2022-----
motor                       12motor                       13motor                       14
0         3500000     3499042     3500000     3499290     3500000     3500700
0.25         3448248     3447883     3446425     3439771     3440546     3441831
0.5         3090646     3091083     3084269     3084922     3064268     3066291
0.75         2358463     2359220     2314075     2314799     2316650     2318937
1.0         1385566     1385923     1374846     1376649     1341912     1344724
1.25          571652      547144      539313      540360      541153      543244
1.5          105404      106171      102595       94755       94232       96119
1.75             476        1233         399        1545         417        2589
2.0           23346       21833       32580       27418       28015       23838
2.25          293647      288425      316982      311982      315608      313007
2.5          945082      972306     1019122     1013367      984254     1013111
2.75         1897940     1892969     1945432     1977894     1942697     1939835
3.0         2795973     2790973     2831848     2826688     2829803     2826881
3.25         3328409     3335996     3356244     3351505     3343609     3340748
3.5         3495348     3490043     3496782     3492542     3496709     3493330
3.75         3490387     3489457     3485014     3484659     3485214     3486701
4.0         3300508     3286558     3251154     3251996     3267944     3254331
4.25         2707307     2708283     2607461     2608509     2640536     2643400
4.5         1784682     1785660     1700163     1701588     1702919     1705259
4.75          879787      850028      780574      782050      812331      813892
5.0          242322      242869      207806      195023      208882      211018
5.25           13906       14875        8811       10270       11003       11231
5.5            1908        1655        6630        4941        5082        5097
5.75          137125      132090      176902      172053      175929      173572
6.0          625560      647404      743997      739002      713484      738673
6.25         1496818     1492197     1617159     1647993     1614413     1611134
6.5         2461633     2456971     2567967     2563529     2533807     2563850
6.75         3153131     3148185     3230547     3225547     3212243     3209104
7.0         3464732     3459592     3478103     3472794     3477844     3474268
7.25         3499958     3495188     3498519     3494804     3499060     3496461
7.5         3419692     3420783     3380727     3381800     3391380     3383814
7.75         3022167     3023298     2892135     2893229     2919798     2922059
8.0         2216799     2216910     2063736     2065198     2066437     2068265
8.25         1240815     1241663     1093927     1095618     1130102     1099152
