
----- Run Wed Aug 17 15:44:46 2022-----
                 motor 0                 motor 1                 motor 2                 
t           demand      actual      demand      actual      demand      actual      
 0.0000     3500000     3498942     3500000     3499171     3500000     3499052
 0.2500     3448698     3441996     3442013     3441502     3441851     3441154
 0.5000     3092233     3092622     3090646     3069661     3068636     3069029
 0.7500     2326933     2327433     2324365     2325117     2323508     2323973
 1.0000     1388249     1389091     1385566     1351106     1349018     1350053
 1.2500      573546      548994      546691      547053      546074      546861
 1.5000      106114      106455       96225       96568       96003       97062
 1.7500         496         923         476         960         469        1362
 2.0000       23078       19398       27116       19774       27214       20900
 2.2500      292332      286640      293647      305995      311961      307396
 2.5000      942704      968635      977014      971345      977817      973185
 2.7500     1895196     1889262     1934486     1928429     1935399     1930488
 3.0000     2793877     2788337     2795973     2789995     2796671     2819548
 3.2500     3327451     3334513     3340881     3335164     3341186     3336390
 3.5000     3495255     3489411     3496482     3490410     3496508     3491426
 3.7500     3490536     3489741     3490387     3489723     3490387     3489384
 4.0000     3301555     3302259     3286236     3287016     3286236     3286869
 4.2500     2709517     2710591     2707307     2678456     2677585     2678099
 4.5000     1824167     1788243     1784682     1785570     1784682     1785835
 4.7500      882100      882896      849188      850615      849188      850441
 5.0000      243501      244078      242322      243153      242322      228111
 5.2500       16835       14710       13906       14455       13906       15113
 5.5000        1839        1005        1908        1527        2679        2223
 5.7500      136017      130497      137125      131432      137125      132887
 6.0000      622922      616862      652231      646855      652231      647935
 6.2500     1493192     1486860     1496818     1490999     1496818     1528398
 6.5000     2425259     2452979     2461633     2456120     2461633     2457237
 6.7500     3151198     3145851     3153131     3166707     3172135     3167567
 7.0000     3464262     3458631     3464732     3458623     3464732     3459913
 7.2500     3499962     3494712     3499879     3494365     3499877     3495161
 7.5000     3420486     3421223     3419892     3412837     3419692     3412178
 7.7500     3024464     3002772     2999457     3000877     2998867     3000071
 8.0000     2220310     2220875     2217677     2183540     2181562     2182176
 8.2500     1244295     1245042     1241684     1242516     1240815     1207698
 8.5000      475250      475605      450928      451436      450371      450959
 8.7500       71764       72169       71210       64552       71026       65037
 9.0000          38         447           6         511           6        1115
 9.2500       40740       32490       46523       38936       46664       41124
 9.5000      368719      362922      370220      384785      370721      386561
 9.7500     1075156     1102687     1111124     1105525     1111965     1107264

----- Run Wed Aug 17 15:54:02 2022-----
                 motor 1                 
t           demand      actual      
 0.0000      300002      300108
 0.2500      305562      302653
 0.5000      321266      314583
 0.7500      348235      341050
 1.0000      385875      379686
 1.2500      431893      427989
 1.5000      489681      484266
 1.7500      557202      551851
 2.0000      630894      628691
 2.2500      716142      711180
 2.5000      809617      804454
 2.7500      906785      905748
 3.0000     1014673     1009623
 3.2500     1128812     1123689
 3.5000     1248436     1243284
 3.7500     1367893     1362898
 4.0000     1495929     1490779
 4.2500     1626997     1621681
 4.5000     1755070     1755073
 4.7500     1889533     1884483

----- Run Wed Aug 17 16:11:56 2022-----
                 motor 1                 
t           demand      actual      
 0.0000     3500000     3501634
 0.2500     3500000     3501634
 0.5000     3500000     3501634
 0.7500     3500000     3501634
 1.0000     3500000     3501634
 1.2500     3500000     3501634
 1.5000     3500000     3501634
 1.7500     3500000     3501634
 2.0000     3500000     3501634
 2.2500     3500000     3501634
 2.5000     3500000     3501634
 2.7500     3500000     3501634
 3.0000     3500000     3501634
 3.2500     3500000     3501634
 3.5000     3500000     3501634
 3.7500     3500000     3501634
 4.0000     3500000     3501634
 4.2500     3500000     3501634
 4.5000     3500000     3501634
 4.7500     3500000     3501634

----- Run Wed Aug 17 16:18:57 2022-----
                 motor 1                 
t           demand      actual      
 0.0000      300002      300117
 0.2500      305552      302735
 0.5000      321246      315360
 0.7500      348204      341041
 1.0000      385834      379539
 1.2500      433889      427815
 1.5000      489621      486408
 1.7500      557133      551887
 2.0000      633928      628645
 2.2500      719495      714521
 2.5000      809523      804481
 2.7500      910716      905592
 3.0000     1014567     1008991
 3.2500     1128700     1123579
 3.5000     1243631     1238459
 3.7500     1367772     1367585
 4.0000     1495804     1490531
 4.2500     1621782     1621424
 4.5000     1754941     1749900
 4.7500     1889403     1884364

----- Run Wed Aug 17 16:27:12 2022-----
                 motor 1                 
t           demand      actual      
 0.0000           0        -157
 0.2500           0        -148
 0.5000           0        -148
 0.7500           0        -157
 1.0000           0         -84
 1.2500           0        -157
 1.5000           0         -66
 1.7500           0         -75
 2.0000           0         -66
 2.2500           0        -167
 2.5000           0         -75
 2.7500           0        -157
 3.0000           0        -148
 3.2500           0         -75
 3.5000           0         -75
 3.7500           0        -148
 4.0000           0        -157
 4.2500           0        -157
 4.5000           0        -157
 4.7500           0         -75

----- Run Wed Aug 17 16:30:32 2022-----
                 motor 1                 
t           demand      actual      
 0.0000     -200000     -199871
 0.2500     -198628     -199330
 0.5000     -195587     -197719
 0.7500     -188545     -192766
 1.0000     -171038     -178081
 1.2500     -129024     -135271
 1.5000      -36043      -40972
 1.7500      171866      167924
 2.0000      552566      566298
 2.2500     1165027     1160136
 2.5000     1908572     1902830
 2.7500     2611116     2605763
 3.0000     3124661     3119813
 3.2500     3409138     3403764
 3.5000     3554971     3549250
 3.7500     3618135     3612888
 4.0000     3645027     3639740
 4.2500     3656382     3650708
 4.5000     3661159     3655588
 4.7500     3663061     3657584

----- Run Wed Aug 17 16:33:14 2022-----
                 motor 1                 
t           demand      actual      
 0.0000     -200000     -199670
 0.2500     -198711     -199395
 0.5000     -195787     -197738
 0.7500     -189025     -193417
 1.0000     -172184     -179199
 1.2500     -133874     -139904
 1.5000      -42150      -46401
 1.7500      148860      152918
 2.0000      529576      525446
 2.2500     1105940     1125519
 2.5000     1843141     1837562
 2.7500     2554342     2550053
 3.0000     3069524     3082835
 3.2500     3388553     3384281
 3.5000     3545308     3539975
 3.7500     3612868     3607055
 4.0000     3643234     3637469
 4.2500     3655450     3650076
 4.5000     3660782     3655130
 4.7500     3662957     3657473

----- Run Wed Aug 17 16:54:51 2022-----
                 motor 1                 
t           demand      actual      
 0.0000     -200000     -199486
 0.2500     -198648     -199184
 0.5000     -195635     -197417
 0.7500     -188276     -192519
 1.0000     -171313     -176982
 1.2500     -129671     -134996
 1.5000      -32623      -36751
 1.7500      168798      174598
 2.0000      565440      561134
 2.2500     1183410     1178373
 2.5000     1928929     1923723
 2.7500     2624954     2623002
 3.0000     3119572     3128319
 3.2500     3412369     3410063
 3.5000     3556003     3551090
 3.7500     3619245     3613236
 4.0000     3645869     3640125
 4.2500     3656578     3651285
 4.5000     3661240     3655771
 4.7500     3663143     3657767

----- Run Wed Aug 17 16:59:12 2022-----
                 motor 1                 
t           demand      actual      
 0.0000     -200000     -199569
 0.0625     -199660     -199615
 0.1250     -199357     -199550
 0.1875     -198988     -199358
 0.2500     -198527     -199166
 0.3125     -197901     -198845
 0.3750     -197143     -198360
 0.4375     -195982     -197783
 0.5000     -194708     -197060
 0.5625     -193120     -196062
 0.6250     -191271     -194771
 0.6875     -188727     -192803
 0.7500     -185557     -190276
 0.8125     -181268     -186568
 0.8750     -176083     -181679
 0.9375     -168192     -175298
 1.0000     -159549     -166143
 1.0625     -148832     -154735
 1.1250     -134358     -140261
 1.1875     -117083     -122381
 1.2500      -95812     -100481
 1.3125      -67077      -70910
 1.3750      -38363      -37539
 1.4375        1665        4035
 1.5000       54172       51048
 1.5625      115015      110401
 1.6250      191154      182096
 1.6875      279811      275562
 1.7500      382982      378248
 1.8125      507046      499702
 1.8750      644667      637754
 1.9375      797639      792561
 2.0000      970516      967683
 2.0625     1152553     1146733
 2.1250     1344481     1338691
 2.1875     1546194     1541059
 2.2500     1749328     1743867
 2.3125     1923840     1947187
 2.3750     2123119     2146433
 2.4375     2316720     2338612
 2.5000     2498199     2516471
 2.5625     2668368     2687483
 2.6250     2824727     2841831
 2.6875     2960476     2971745
 2.7500     3082672     3093354
 2.8125     3189329     3184138
 2.8750     3275150     3267002
 2.9375     3350620     3345280
 3.0000     3413941     3412068
 3.0625     3461791     3463713
 3.1250     3503694     3496946
 3.1875     3535751     3531021
 3.2500     3562673     3557489
 3.3125     3584503     3578528
 3.3750     3600648     3594449
 3.4375     3614325     3608585
 3.5000     3623726     3619525
 3.5625     3632092     3626639
 3.6250     3639067     3633322
 3.6875     3644649     3638870
 3.7500     3648698     3643018
 3.8125     3652128     3646432
 3.8750     3654866     3649179
 3.9375     3656809     3651202
 4.0000     3658487     3652869
 4.0625     3659726     3654141
 4.1250     3660751     3655231
 4.1875     3661568     3656009
 4.2500     3662162     3656641
 4.3125     3662662     3657217
 4.3750     3663059     3657574
 4.4375     3663303     3657986
 4.5000     3663553     3658243
 4.5625     3663553     3658206
 4.6250     3663553     3658353
 4.6875     3663553     3658353
 4.7500     3663553     3658462
 4.8125     3663553     3658563
 4.8750     3663553     3658527
 4.9375     3663553     3658591
